"标题","标题链接","brief","keywords","发布时间","新闻类别","采集时的时间"
"273名境外男性被骗 江西通报多起电信诈骗案例","https://news.cctv.com/2021/04/24/ARTIGy2uTDQP0xXej2khXIWC210424.shtml","赣州各级法院审理的14起案件中，诈骗分子假冒海外女留学生，通过各类社交软件对境外的273名男性实施了诈骗。","境外男性,被骗,电信诈骗","2021-04-24","法治","2021-04-24 17:05:14"
"河南新安警方通报“未成年女孩遭脱衣殴打”：一嫌犯被刑拘","https://news.cctv.com/2021/04/23/ARTI1jntJjhQupBKCe0fGH7g210423.shtml","针对网传“未成年女孩遭脱衣殴打欺凌”视频，河南洛阳市新安县公安局官方微博@平安新安4月22日深夜通报称，一名犯罪嫌疑人被刑拘，其他不满16周岁人员被训诫。","殴打,新安县,未成年女孩","2021-04-23","法治","2021-04-24 17:05:14"
"你出国打工，你父母知道吗？小伙欲出国打工赚大钱被民警“灵魂拷问”","https://news.cctv.com/2021/04/23/ARTIZxSIe5N7dWmp3bNkV3iz210423.shtml","一名19岁的小伙儿在办理出国护照时，面对民警的一系列“灵魂拷问”终于坦白，为了出国“打洋工”，他办理的各种证明都是假的。","小伙,出国打工,赚大钱","2021-04-23","法治","2021-04-24 17:05:14"
"山东省威海市人大常委会原第一副主任、市委政法委原书记刘茂德接受纪律审查和监察调查","https://news.cctv.com/2021/04/23/ARTIq78F5xbiAUcfGtZIOgkU210423.shtml","山东省纪委监委22日发布通报，山东省威海市人大常委会原第一副主任、市委政法委原书记刘茂德涉嫌严重违纪违法，目前正在接受山东省纪委监委纪律审查和监察调查。","刘茂德,纪律审查,监察调查","2021-04-23","法治","2021-04-24 17:05:14"
"延期开庭，“5年4次起诉遭驳回离婚案”再起波澜","https://news.cctv.com/2021/04/22/ARTI2cgxr52rGpydkW457n1j210422.shtml","据湖南衡阳市衡阳县法院官方微博消息，衡阳县人民法院21日晚发布关于宁顺花诉陈定华离婚纠纷一案的情况通报，原定于23日开庭审理的宁顺花诉陈定华离婚纠纷一案，因被告申请，该院决定对本案延期开庭。","宁顺花,陈定华,离婚","2021-04-22","法治","2021-04-24 17:05:14"
"八座面包车“塞”26人，幼儿园司机、园长被立案侦查","https://news.cctv.com/2021/04/22/ARTIzp612at42pgrjCKEYH3k210422.shtml","近日，广西钦州市灵山县公安机关对一起严重超员违法行为的涉事人员进行立案并移交检察院提起诉讼。","面包车,严重超员,立案","2021-04-22","法治","2021-04-24 17:05:14"
"女子为讨加班费10年维权 最高检向最高法抗诉改判","https://news.cctv.com/2021/04/21/ARTI26se7V4L6prEZfP9X0Gr210421.shtml","重庆市民唐丽华(化名)为给万把块钱的加班费讨一个“说法”,奔走了将近10年。从区县法院的一审、到中级法院的二审、再到高级法院的再审,直至最高人民检察院向最高人民法院提出抗诉并获改判,唐丽华的诉求最终得以实现。","唐丽华,抗诉,加班工资","2021-04-21","法治","2021-04-24 17:05:14"
"用外挂软件能抢茅台? 男子用低劣谎言骗了小老板180余万","https://news.cctv.com/2021/04/21/ARTIlgh2q5v5p6gZ5LBXmyam210421.shtml","经营烟酒超市的小老板,竟然轻信“利用电脑外挂在茅台集团官网抢购茅台酒”的谎言,被骗共计180余万元。日前,经江苏省海安市检察院提起公诉,法院以诈骗罪判处被告人杨某有期徒刑十一年,并处罚金30万元。","茅台集团,软件,外挂","2021-04-21","法治","2021-04-24 17:05:14"
"培训机构人去楼空 检察官助大学生拿回12.9万元培训费","https://news.cctv.com/2021/04/21/ARTIcJVD6iTbabK04s5hZOzE210421.shtml","近日,22名大学生拿到了退还的12.9万元培训费。至此,由山东省青岛市崂山区检察院支持起诉,崂山区法院、区市场监管局、区教体局合力推进的大学生维权案尘埃落定。","培训机构,培训费,检察院","2021-04-21","法治","2021-04-24 17:05:14"
"被限制高消费还能随意购票出行？背后有条犯罪链","https://news.cctv.com/2021/04/21/ARTI94S8tUU4CoaAzinpI0bm210421.shtml","被限制高消费后,还能随意购买飞机票、高铁票,出行不受限制,难道这些“限高”人员会变魔术?原来,有一家公司瞄准“商机”为他们购买飞机票、高铁票。日前,上海市宝山区检察院对被告人董某倒卖车票案提起公诉。","限高,被执行人,高消费","2021-04-21","法治","2021-04-24 17:05:14"
